date,ticker,Gross Profit,Cost Of Revenue,Total Revenue
2021-12-31,002380,1326564422000.0,4548334870330.0,5874899292330.0
2020-12-31,002380,1041844824830.0,4041786668160.0,5083631492990.0
2022-12-31,119650,30060460930.0,391523285930.0,421583746860.0
2021-12-31,119650,28817917990.0,326216851780.0,355034769770.0
2020-12-31,119650,-14921508780.0,342830217510.0,327908708730.0
2022-12-31,016380,445869911820.0,3373819116010.0,3819689027830.0
2021-12-31,016380,396766824390.0,2958022361940.0,3354789186330.0
2020-12-31,016380,209770782770.0,2132672808130.0,2342443590900.0
2022-12-31,001390,1088501806730.0,5518853282120.0,6607355088850.0
2021-12-31,001390,891365146340.0,3935253246710.0,4826618393050.0
2020-12-31,001390,667523724210.0,3018826627420.0,3686350351630.0
2022-12-31,044450,84852781160.0,360523008540.0,445375789700.0
2021-12-31,044450,72183732820.0,251817533990.0,324001266810.0
2020-12-31,044450,62188145440.0,163993021600.0,226181167040.0
2023-12-31,058860,501308244720.0,91651426000.0,592959670720.0
2022-12-31,058860,460917082930.0,74866223000.0,535783305930.0
2021-12-31,058860,412373068980.0,55631195000.0,468004263980.0
2020-12-31,058860,410191579630.0,43447565000.0,453639144630.0
2022-12-31,093050,1170380796480.0,798159568150.0,1968540364630.0
2021-12-31,093050,1098094909230.0,695009070490.0,1793103979720.0
2020-12-31,093050,897123550850.0,713336421250.0,1610459972100.0
2023-12-31,032640,11500351000000.0,2872275000000.0,14372626000000.0
2022-12-31,032640,11254775000000.0,2651215000000.0,13905990000000.0
2021-12-31,032640,10995729000000.0,2855406000000.0,13851135000000.0
2020-12-31,032640,10437221000000.0,2980406000000.0,13417627000000.0
2023-12-31,037560,1019536678840.0,170720770000.0,1190257448840.0
2022-12-31,037560,992422667990.0,175445330000.0,1167867997990.0
2021-12-31,037560,971711126920.0,108421154000.0,1080132280920.0
2020-12-31,037560,968489517630.0,89445178000.0,1057934695630.0
2022-12-31,079550,326542021840.0,1894209846590.0,2220751868430.0
2021-12-31,079550,231569889490.0,1590624425950.0,1822194315440.0
2020-12-31,079550,189680189470.0,1410664125550.0,1600344315020.0
2022-12-31,006260,1881714000000.0,15609624000000.0,17491338000000.0
2021-12-31,006260,1612395000000.0,11216879000000.0,12829274000000.0
2020-12-31,006260,1291399000000.0,9152917000000.0,10444316000000.0
2023-12-31,010120,773433562060.0,3457049066380.0,4230482628440.0
2022-12-31,010120,596855887130.0,2780214328700.0,3377070215830.0
2021-12-31,010120,487086631600.0,2181178348650.0,2668264980250.0
2020-12-31,010120,434139917090.0,1968532611330.0,2402672528420.0
2022-12-31,383800,198802000000.0,38116000000.0,236918000000.0
2021-12-31,383800,177404000000.0,8408000000.0,185812000000.0
2022-12-31,38380K,198802000000.0,38116000000.0,236918000000.0
2021-12-31,38380K,177404000000.0,8408000000.0,185812000000.0
2022-12-31,034310,2036972082160.0,715949997000.0,2752922079160.0
2021-12-31,034310,1835499600330.0,614366932000.0,2449866532330.0
2020-12-31,034310,1613727255810.0,441786842000.0,2055514097810.0
2023-12-31,008260,97312890770.0,285598248030.0,382911138800.0
2022-12-31,008260,89716689030.0,265673513110.0,355390202140.0
2021-12-31,008260,44839958920.0,203372790540.0,248212749460.0
2020-12-31,008260,32917821610.0,159654019390.0,192571841000.0
2022-12-31,004250,79396252840.0,465185222860.0,544581475700.0
2021-12-31,004250,75803367170.0,411098783800.0,486902150970.0
2020-12-31,004250,62573967330.0,368759400060.0,431333367390.0
2022-12-31,004255,79396252840.0,465185222860.0,544581475700.0
2021-12-31,004255,75803367170.0,411098783800.0,486902150970.0
2020-12-31,004255,62573967330.0,368759400060.0,431333367390.0
2023-12-31,456040,169507182000.0,1119318493000.0,1288825675000.0
2022-12-31,010950,4154588000000.0,38291440000000.0,42446028000000.0
2021-12-31,010950,2768726000000.0,24695192000000.0,27463918000000.0
2020-12-31,010950,-536523000000.0,17366204000000.0,16829681000000.0
2022-12-31,010955,4154588000000.0,38291440000000.0,42446028000000.0
2021-12-31,010955,2768726000000.0,24695192000000.0,27463918000000.0
2020-12-31,010955,-536523000000.0,17366204000000.0,16829681000000.0
2022-12-31,034120,369438226270.0,804343354620.0,1173781580890.0
2021-12-31,034120,347210152430.0,701824417170.0,1049034569600.0
2020-12-31,034120,223406650370.0,636936463990.0,860343114360.0
2022-12-31,001770,17561425060.0,107702567560.0,125263992620.0
2021-12-31,001770,9446247360.0,95324459000.0,104770706360.0
2020-12-31,001770,5040185260.0,72286769650.0,77326954910.0
2022-12-31,002360,10960794060.0,156395080490.0,167355874550.0
2021-12-31,002360,9664013830.0,134098539880.0,143762553710.0
2020-12-31,002360,1088080590.0,92496181200.0,93584261790.0
2022-12-31,009160,175641134640.0,496587578450.0,672228713090.0
2021-12-31,009160,159436520690.0,453576258880.0,613012779570.0
2020-12-31,009160,37677896060.0,328185406990.0,365863303050.0
2022-12-31,123700,40125198350.0,140112506570.0,180237704920.0
2021-12-31,123700,35044914850.0,110680804610.0,145725719460.0
2020-12-31,123700,30169347570.0,108499604340.0,138668951910.0
2022-12-31,025530,45321204240.0,138902484970.0,184223689210.0
2021-12-31,025530,39483258290.0,110185554370.0,149668812660.0
2020-12-31,025530,33559230010.0,107994229480.0,141553459490.0
2022-12-31,017670,15053138000000.0,2251835000000.0,17304973000000.0
2021-12-31,017670,14521428000000.0,2227157000000.0,16748585000000.0
2020-12-31,017670,13917074000000.0,2170673000000.0,16087747000000.0
2023-12-31,003570,65522276900.0,420431996430.0,485954273330.0
2022-12-31,003570,56118656450.0,351906041810.0,408024698260.0
2021-12-31,003570,41407379890.0,294546632700.0,335954012590.0
2020-12-31,003570,31680876860.0,270073530880.0,301754407740.0
2022-12-31,005610,520388272360.0,2794159008140.0,3314547280500.0
2021-12-31,005610,472762001840.0,2473891784810.0,2946653786650.0
2020-12-31,005610,412503147770.0,2130206282410.0,2542709430180.0
2022-12-31,084870,117412955260.0,85678565990.0,203091521250.0
2021-12-31,084870,106571931820.0,81503617760.0,188075549580.0
2020-12-31,084870,92762689970.0,80377018430.0,173139708400.0
2022-12-31,002900,273881833600.0,892256933260.0,1166138766860.0
2021-12-31,002900,157657601500.0,683798314960.0,841455916460.0
