date,ticker,Gross Profit,Cost Of Revenue,Total Revenue
2022-12-31,017860,116408691760.0,1017311271990.0,1133719963750.0
2021-12-31,017860,113114840190.0,787392373610.0,900507213800.0
2022-12-31,017940,567028673000.0,7423739224660.0,7990767897660.0
2021-12-31,017940,271910290040.0,4880390607430.0,5152300897470.0
2020-12-31,017940,314443451980.0,3613110784640.0,3927554236620.0
2023-11-30,365550,52957789550.0,52957789550.0
2023-05-31,365550,49482601960.0,49482601960.0
2022-11-30,365550,49006142340.0,49006142340.0
2022-08-31,365550,46732222160.0,46732222160.0
2022-05-31,365550,46743296750.0,46743296750.0
2022-02-28,365550,37243801700.0,37243801700.0
2021-11-30,365550,30062669520.0,30062669520.0
2021-05-31,365550,23710051450.0,23710051450.0
2020-11-30,365550,,
2020-05-31,365550,,
2022-12-31,383220,1276182452780.0,532712093920.0,1808894546700.0
2021-12-31,383220,796419578350.0,292752508580.0,1089172086930.0
2022-12-31,007700,1278924791790.0,537890145680.0,1816814937470.0
2021-12-31,007700,516916817690.0,210209527670.0,727126345360.0
2020-12-31,007700,9759771920.0,10890801340.0,20650573260.0
2022-12-31,114090,12463955250.0,249646595810.0,262110551060.0
2021-12-31,114090,-119098601810.0,204185462480.0,85086860670.0
2020-12-31,114090,-53904413140.0,238366745180.0,184462332040.0
2022-12-31,078930,8004898000000.0,20772150000000.0,28777048000000.0
2021-12-31,078930,4935588000000.0,15229461000000.0,20165049000000.0
2020-12-31,078930,2758692000000.0,12685522000000.0,15444214000000.0
2022-12-31,006360,1286606568350.0,11012589646400.0,12299196214750.0
2021-12-31,006360,1350756640660.0,7685818782140.0,9036575422800.0
2020-12-31,006360,1535087602010.0,8587843235440.0,10122930837450.0
2022-12-31,001250,185237135070.0,4885685982280.0,5070923117350.0
2021-12-31,001250,135046667460.0,3713993852820.0,3849040520280.0
2020-12-31,001250,122247488700.0,2692773490760.0,2815020979460.0
2023-12-31,007070,2960024069830.0,8652523850900.0,11612547920730.0
2022-12-31,007070,2832293205490.0,8199599500460.0,11031892705950.0
2021-12-31,007070,2197146326330.0,7493512996050.0,9690659322380.0
2020-12-31,007070,1831295803620.0,7031023135790.0,8862318939410.0
2022-12-31,078935,8004898000000.0,20772150000000.0,28777048000000.0
